_id,name,discipline,role,designation,company,description,bio,shortBio,photo.media,photo.url,photo.fileId,photo.thumbnailUrl,photo.alt,photo.caption,photo.width,photo.height,education,experience,specialization,achievements[0],achievements[1],achievements[2],achievements[3],achievements[4],expertise[0],expertise[1],expertise[2],expertise[3],expertise[4],expertise[5],expertise[6],expertise[7],slug,status,publishedAt,scheduledAt,featured,displayOrder,seo.title,seo.description,seo.ogImage,seo.canonicalUrl,seo.noIndex,deletedAt,deletedBy,createdBy,updatedBy,revision,coverImage.media,coverImage.url,coverImage.fileId,coverImage.thumbnailUrl,coverImage.alt,coverImage.caption,coverImage.width,coverImage.height,socialLinks.linkedin,socialLinks.twitter,socialLinks.github,socialLinks.website,createdAt,updatedAt,__v,rejectedReason
6a6061e97bfcf05ac32c3e3e,Antriksh Kumar,Analytics,Sr. Data Analyst at Capgemini,,,"Antriksh Kumar is a Senior Data Analyst with over 15 years of experience in data engineering and analytics. He specializes in SQL, AWS, ETL pipelines, and data modeling, helping organizations build scalable data solutions and derive actionable business insights.",Data Analyst with 15+ years of experience in data engineering and analytics at Capgemini.,,,https://ik.imagekit.io/ojoijfoinsdnfoodsnf/careerveda/faculty/faculty2-93539455.jpg?updatedAt=1784010443180,,,Antriksh Kumar,,,,B.Tech,15+ Years,Data Analytics  Data Engineering SQL AWS ETL Pipelines Data Modeling,15+ years of experience in data engineering and analytics,Senior Data Analyst at Capgemini,Expertise in designing and managing ETL pipelines,Strong background in cloud-based data solutions using AWS,Experienced in data modeling and database optimization,SQL,AWS,ETL Pipeline Development,Data Modeling,Data Analytics,Database Management,Data Warehousing,Business Intelligence & Reporting,antriksh-kumar,published,2026-07-22T06:23:37.627Z,,false,1,Antriksh Kumar,Sr. Data Analyst at Capgemini,,,false,,,,6a708ec07c0778d2b1fdc62a,13,,,,,,,,,,,,,2026-07-22T06:23:37.629Z,2026-08-05T08:03:21.751Z,4,
6a60624c75957d87c43cc47a,Aditya Sharma,Product Management,Sr. Product Manager,,,senior developer,"Aditya Sharma is a seasoned Product Management professional with extensive experience in building scalable digital products and driving business growth across technology-driven organizations. He specializes in product strategy, user experience, stakeholder management, and data-driven decision-making, helping learners bridge the gap between industry expectations and practical execution.",,,https://ik.imagekit.io/ojoijfoinsdnfoodsnf/careerveda/faculty/faculty1-de594e86.jpg?updatedAt=1784010443438,,,Aditya Sharma,,,,MBA in Product Management & Business Strategy,10+ Years,"Product Strategy, Growth Product Management, User Research, Agile Methodologies, Roadmap Planning, Data Analytics",Mentored 500+ aspiring product professionals,Worked with cross-functional global teams,,,,Product Strategy & Roadmapping,Agile & Scrum Methodologies,User Research & Analytics,SQL & Data Interpretation,"Jira, Confluence & Figma",Growth & KPI Optimization,,,aditya-sharma,published,2026-07-22T06:25:16.525Z,,false,0,Aditya Sharma,Sr. Product Manager,,,false,,,,,4,,,,,,,,,,,,,2026-07-22T06:25:16.543Z,2026-08-04T08:18:36.731Z,0,
6a60624c75957d87c43cc480,Prateek Singh,Product Management,Product Manager at Deloitte,,,,"Product Manager with 12+ years of experience specializing in business analytics at Deloitte. He brings deep expertise in data visualization and statistical analysis, guiding learners to turn complex data into clear, decision-ready insights and translate business questions into analytical outcomes.",,,https://ik.imagekit.io/ojoijfoinsdnfoodsnf/careerveda/faculty/faculty3-1fbba623.jpg?updatedAt=1784010442857,,,Prateek Singh,,,,M.Tech in Data Science,12+ Years,"Business Analytics, Data Visualization, Statistical Analysis",Led major data transformation projects,Expert in business intelligence,Certified analytics professional,Trained 1800+ professionals,,Tableau,R & R Shiny,Python,SQL,Excel,Advance Excel,,,prateek-singh,published,2026-07-22T06:25:16.716Z,,false,2,Prateek Singh,Product Manager at Deloitte,,,false,,,,,4,,,,,,,,,,,,,2026-07-22T06:25:16.722Z,2026-08-04T08:18:36.857Z,0,
6a60624c75957d87c43cc483,Gagan Chaudhary,Data Science,Sr. Data Scientist & GEN AI Expert at Accenture,,,,Sr. Data Scientist & GEN AI Expert with 10+ years of experience in machine learning and AI at Accenture.,,,https://ik.imagekit.io/ojoijfoinsdnfoodsnf/careerveda/faculty/faculty4-856a91e8.jpg?updatedAt=1784010443568,,,Gagan Chaudhary,,,,M.Sc in Artificial Intelligence,10+ Years,"Machine Learning, AI, Deep Learning, Predictive Analytics",Published research in AI,Built ML models for Fortune 500 companies,Expert in neural networks,Mentored 2000+ students,,Python,TensorFlow,PyTorch,Scikit-learn,Keras,Machine Learning,NLP,,gagan-chaudhary,published,2026-07-22T06:25:16.797Z,,false,3,Gagan Chaudhary,Sr. Data Scientist & GEN AI Expert at Accenture,,,false,,,,,4,,,,,,,,,,,,,2026-07-22T06:25:16.811Z,2026-08-04T08:18:36.914Z,0,
6a60624c75957d87c43cc486,Surya Deepta Mazumdaar,Data Science,Decision Scientist at Mu Sigma Inc.,,,,Decision Scientist with 14+ years of experience in analytics and decision science.,,,https://ik.imagekit.io/ojoijfoinsdnfoodsnf/careerveda/faculty/faculty5-2429702b.jpg?updatedAt=1784010442770,,,Surya Deepta Mazumdaar,,,,MBA in Business Analytics,14+ Years,"Decision Science, Predictive Modeling, Business Strategy",Expert in decision analytics,Helped clients optimize business decisions,Published case studies,,,R,SAS,Python,Advanced Statistics,Optimization,,,,surya-deepta-mazumdaar,published,2026-07-22T06:25:16.888Z,,false,4,Surya Deepta Mazumdaar,Decision Scientist at Mu Sigma Inc.,,,false,,,,,4,,,,,,,,,,,,,2026-07-22T06:25:16.895Z,2026-08-04T08:18:36.975Z,0,
6a60624c75957d87c43cc489,Ashwani Jain,Product Management,Senior Product Manager,,,,"Senior Product Manager with 13+ years of experience leading data-driven products across multiple tech companies. He specializes in product strategy, data strategy, and agile development, helping learners build products that are grounded in analytics and shipped through disciplined, iterative delivery.",,,https://ik.imagekit.io/ojoijfoinsdnfoodsnf/careerveda/faculty/faculty6-d366f6dd.jpg?updatedAt=1784010442986,,,Ashwani Jain,,,,B.Tech + MBA,13+ Years,"Product Management, Data Strategy, Agile Development",Launched 10+ successful products,Expert in product analytics,Certified Scrum Master,Mentored 1200+ product enthusiasts,,Product Analytics,A/B Testing,SQL,Mixpanel,Google Analytics,,,,ashwani-jain,published,2026-07-22T06:25:16.996Z,,false,5,Ashwani Jain,Senior Product Manager,,,false,,,,,4,,,,,,,,,,,,,2026-07-22T06:25:17.001Z,2026-08-04T08:18:37.034Z,0,
6a60624d75957d87c43cc48c,Geetanjali Adhikari,Product Management,Deputy Manager at Tata AIG,,,,"Deputy Manager with 11+ years of experience in insurance analytics and risk management at Tata AIG. She specializes in risk modeling, actuarial science, and process optimization, helping learners apply analytics to real-world risk and insurance decisions.",,,https://ik.imagekit.io/ojoijfoinsdnfoodsnf/careerveda/faculty/faculty7-0548a4b9.jpg?updatedAt=1784010443376,,,Geetanjali Adhikari,,,,B.Tech + Executive MBA,11+ Years,"Insurance Analytics, Risk Management, Actuarial Science",Expert in insurance analytics,Risk modeling specialist,Process optimization leader,Trained 1000+ professionals,,SAS,R,SQL,Excel,Risk Analytics,,,,geetanjali-adhikari,published,2026-07-22T06:25:17.085Z,,false,6,Geetanjali Adhikari,Deputy Manager at Tata AIG,,,false,,,,,4,,,,,,,,,,,,,2026-07-22T06:25:17.088Z,2026-08-04T08:18:37.092Z,0,
6a60624d75957d87c43cc48f,Pankaj Kumar,Product Management,Senior Product Manager,,,,"Senior Product Manager with 13+ years of experience leading data-driven products across multiple tech companies. He specializes in product strategy, data strategy, and agile development, helping learners build products that are grounded in analytics and shipped through disciplined, iterative delivery.",,,https://ik.imagekit.io/ojoijfoinsdnfoodsnf/careerveda/faculty/faculty8-65907da2.jpg,,,Pankaj Kumar,,,,B.Tech + MBA,10+ Years,"Product Management, Data Strategy, Agile Development",Launched 15+ successful products,Expert in product analytics,Certified Scrum Master,Mentored 1200+ product enthusiasts,,Product Analytics,A/B Testing,SQL,Mixpanel,Google Analytics,,,,pankaj-kumar,published,2026-07-22T06:25:17.164Z,,false,7,Pankaj Kumar,Senior Product Manager,,,false,,,,,4,,,,,,,,,,,,,2026-07-22T06:25:17.168Z,2026-08-04T08:18:37.151Z,0,
6a60624d75957d87c43cc492,Awantika Sinha,Business Analytics,Senior Business Analyst,,,,"Senior Business Analyst with 15+ years of experience bridging business needs with technology solutions across multiple domains. She specializes in requirements elicitation, stakeholder management, process optimization, and data-driven decision-making, equipping learners to translate complex business problems into clear, actionable solutions.",,,https://ik.imagekit.io/ojoijfoinsdnfoodsnf/careerveda/faculty/Screenshot-2026-07-16-171225-596ad29f.jpg,,,Awantika Sinha,,,,BBA + MBA,15+ Years,"Business Analysis, Requirements Gathering, Stakeholder Management, Process Optimization, Data-Driven Decision Making",Led requirement analysis for 20+ enterprise-scale projects,Expert in business process modeling and optimization,Certified Scrum Master,Mentored 1200+ aspiring business analysts,,Requirements Analysis,Stakeholder Management,SQL,Data Visualization,Business Process Modeling,BRD & FRD Documentation,Agile & Scrum,,awantika-sinha,published,2026-07-22T06:25:17.242Z,,false,8,Awantika Sinha,Senior Business Analyst,,,false,,,,,4,,,,,,,,,,,,,2026-07-22T06:25:17.252Z,2026-08-04T08:18:37.209Z,0,
6a60a66ed5bd876677e43351,hello,,junior cyber cell,,,ihosdofsd,uiosidfosd,,6a606a1fee5ababd488de279,https://ik.imagekit.io/ojoijfoinsdnfoodsnf/careerveda/alumni/Achiever8-1a1454dd.jpg,6a606a1f5c7cd75eb8b7a842,https://ik.imagekit.io/ojoijfoinsdnfoodsnf/tr:n-ik_ml_thumbnail/careerveda/alumni/Achiever8-1a1454dd.jpg,,,1024,1536,bed,,,,,,,,,,,,,,,,hello,archived,2026-07-22T11:15:58.419Z,,false,10,,,,,false,2026-07-22T12:26:49.680Z,6a60a17c20a2dec57e15dec5,6a60a17c20a2dec57e15dec5,6a60a17c20a2dec57e15dec5,1,,,,,,,,,,,,,2026-07-22T11:15:58.247Z,2026-07-22T12:26:49.683Z,0,
