_id,question,answer,category,relatedEntityType,relatedEntityId,slug,status,publishedAt,scheduledAt,featured,displayOrder,deletedAt,deletedBy,createdBy,updatedBy,revision,seo.title,seo.description,seo.ogImage,seo.canonicalUrl,seo.noIndex,createdAt,updatedAt,__v,rejectedReason
6a6061ee7bfcf05ac32c3f40,What programs does CareerVeda offer?,"Programs span Investment Banking, Business Analytics, Data Analytics, Data Science with AI/ML and Agentic AI, CyberSecurity, Backend Development Engineering, and Data Engineering with Agentic & Gen AI. Each one is built around the tools and workflows employers are hiring for right now.",General,,,what-programs-does-careerveda-offer,published,2026-07-22T06:23:42.818Z,,false,0,,,,6a706e412188a497eefd8214,10,,,,,false,2026-07-22T06:23:42.819Z,2026-08-04T08:18:45.200Z,0,
6a6061ee7bfcf05ac32c3f43,What is the duration of these programs?,"Duration varies by program and by the batch you join, since each track is scoped to the depth its role demands. Our admissions team can walk you through the exact schedule for the program you're considering.",General,,,what-is-the-duration-of-these-programs,published,2026-07-22T06:23:42.883Z,,false,1,,,,,7,,,,,false,2026-07-22T06:23:42.883Z,2026-08-04T08:18:45.265Z,0,
6a6061ee7bfcf05ac32c3f46,Do I get certifications after completing the program?,"Yes. You earn an industry-aligned, globally recognized certification that validates your expertise, adds credibility to your resume, and helps you stand out with employers.",General,,,do-i-get-certifications-after-completing-the-program,published,2026-07-22T06:23:42.944Z,,false,2,,,,,7,,,,,false,2026-07-22T06:23:42.944Z,2026-08-04T08:18:45.325Z,0,
6a6061ee7bfcf05ac32c3f49,Is there placement assistance provided?,"Yes — placement support runs alongside the course rather than after it: resume support, LinkedIn optimization, mock interviews, soft skills training, referrals, and direct access to our 900+ hiring partners.",General,,,is-there-placement-assistance-provided,published,2026-07-22T06:23:42.999Z,,false,3,,,,,7,,,,,false,2026-07-22T06:23:43.000Z,2026-08-04T08:18:45.384Z,0,
6a6061ef7bfcf05ac32c3f4c,What are the eligibility criteria to enroll?,"Criteria depend on the program and on your background — some tracks assume prior experience, others are built for career changers starting fresh. Talk to our admissions team and they'll tell you which programs you're eligible for.",General,,,what-are-the-eligibility-criteria-to-enroll,published,2026-07-22T06:23:43.057Z,,false,4,,,,,7,,,,,false,2026-07-22T06:23:43.058Z,2026-08-04T08:18:45.441Z,0,
6a6061ef7bfcf05ac32c3f4f,Is this live online program or recorded lectures?,"Classes are live and interactive, taught by expert instructors with time set aside for doubt clearing. Sessions are recorded too, so you can revisit anything you need to review.",General,,,is-this-live-online-program-or-recorded-lectures,published,2026-07-22T06:23:43.115Z,,false,5,,,,,7,,,,,false,2026-07-22T06:23:43.115Z,2026-08-04T08:18:45.503Z,0,
6a6061ef7bfcf05ac32c3f52,Can I pursue this program while working full time?,"Yes — the schedule is designed for working professionals. Choose weekday or weekend batches, catch up through recordings, and continue at a pace that fits around your job.",General,,,can-i-pursue-this-program-while-working-full-time,published,2026-07-22T06:23:43.172Z,,false,6,,,,,7,,,,,false,2026-07-22T06:23:43.173Z,2026-08-04T08:18:45.567Z,0,
6a6061ef7bfcf05ac32c3f55,What kind of projects will I work on?,"You build portfolio-ready projects and work through case studies drawn from real business challenges at leading companies — the kind of problems you'd face in the role, not textbook exercises.",General,,,what-kind-of-projects-will-i-work-on,published,2026-07-22T06:23:43.229Z,,false,7,,,,,7,,,,,false,2026-07-22T06:23:43.229Z,2026-08-04T08:18:45.640Z,0,
6a6061ef7bfcf05ac32c3f58,What is the average salary hike after completing the program?,"Learners report an average salary growth of 86%. Your own outcome depends on your experience, target role, and the market you're hiring into, so treat that as a benchmark rather than a promise.",General,,,what-is-the-average-salary-hike-after-completing-the-program,published,2026-07-22T06:23:43.287Z,,false,8,,,,,7,,,,,false,2026-07-22T06:23:43.287Z,2026-08-04T08:18:45.705Z,0,
6a6061ef7bfcf05ac32c3f5b,What support is available during the program?,"You're assigned a personal mentor matched to your goals, with weekly guidance sessions, a career roadmap, and progress tracking. Live classes, doubt clearing, and skill workshops run throughout, and career support continues after you graduate.",General,,,what-support-is-available-during-the-program,published,2026-07-22T06:23:43.346Z,,false,9,,,,,7,,,,,false,2026-07-22T06:23:43.347Z,2026-08-04T08:18:45.766Z,0,
6a61c4da45ff7f5a1ade2c7a,what is java,java is a tool,General,,,what-is-java,archived,2026-07-23T07:38:23.509Z,,false,9,2026-07-23T08:07:35.901Z,6a60a17c20a2dec57e15dec5,6a60a17c20a2dec57e15dec5,6a60a17c20a2dec57e15dec5,2,,,,,false,2026-07-23T07:38:03.002Z,2026-07-23T08:07:35.902Z,0,
6a6348d9a9150085085d8155,Will AI Replace Humans?,"No, AI will not completely replace humans. AI may automate certain tasks, but it is unlikely to replace every job. Many roles will evolve rather than disappear. Industries are increasingly looking for professionals who can combine technical knowledge with human problem-solving, communication, and leadership skills..",General,,,will-ai-replace-the-humans,published,2026-07-24T11:13:29.436Z,,false,7,,,6a60a17c20a2dec57e15dec5,6a706e412188a497eefd8214,2,,,,,false,2026-07-24T11:13:29.147Z,2026-08-03T10:44:31.673Z,0,
6a67563a67bf0c0885b6e7ef,Will i get the 100 % Placement Through CareerVeda?,"CareerVeda provides comprehensive placement including resume building, mock interviews, career counseling, and job referrals to help learners secure employment. CareerVeda equips students with the skills, certifications, and interview preparation needed to improve their chances of getting hired.",General,,,will-i-get-the-100-placement,published,2026-07-27T12:59:41.440Z,,false,10,,,6a60a17c20a2dec57e15dec5,6a706e412188a497eefd8214,3,,,,,false,2026-07-27T12:59:38.916Z,2026-08-03T10:41:21.463Z,0,
